cod,descr,per,anoinicio,unidade
1220,"PIB trimestral (1995=100) - Dados observados - Produção e distribuição de eletricidade, gás e água","""T""",1991,"""Índice"""
1221,PIB trimestral (1995=100) - Dados observados - Serviços (total),"""T""",1991,"""Índice"""
1222,PIB trimestral (1995=100) - Dados observados - Comércio,"""T""",1991,"""Índice"""
1223,"PIB trimestral (1995=100) - Dados observados - Transporte, armazenagem e correio","""T""",1991,"""Índice"""
1224,PIB trimestral (1995=100) - Dados observados - Serviços de informação,"""T""",1991,"""Índice"""
1225,"PIB trimestral (1995=100) - Dados observados - Administração, saúde e educação públicas","""T""",1991,"""Índice"""
1226,PIB trimestral (1995=100) - Dados observados - Outros Serviços,"""T""",1991,"""Índice"""
1227,"PIB trimestral (1995=100) - Dados observados - Intermediação financeira, seguros, previdência complementar e serviços relativos","""T""",1991,"""Índice"""
1228,PIB trimestral (1995=100) - Dados observados - Atividades imobiliárias e aluguel,"""T""",1991,"""Índice"""
1229,PIB trimestral (1990=100) - Dados observados - Dummy financeiro,"""T""",1990,"""Índice"""
1230,PIB trimestral (1995=100) - Dados observados - Valor adicionado a preços básicos,"""T""",1991,"""Índice"""
1231,PIB trimestral (1995=100) - Dados observados - Impostos sobre produtos,"""T""",1991,"""Índice"""
1232,PIB trimestral (1995=100) - Dados observados - Produto Interno Bruto a preços de mercado,"""T""",1991,"""Índice"""
1233,PIB trimestral (1995=100) - Dados dessazonalizados - Agropecuária (total) SCN-2010,"""T""",1996,"""Índice"""
1234,PIB trimestral (1990=100) - Dados dessazonalizados - Lavouras,,,
1235,PIB trimestral (1990=100) - Dados dessazonalizados - Produção animal,,,
1236,PIB trimestral (1990=100) - Dados dessazonalizados - Extrativa vegetal,,,
1237,PIB trimestral (1995=100) - Dados dessazonalizados - Indústria (total) SCN-2010,"""T""",1996,"""Índice"""
1238,PIB trimestral (1990=100) - Dados dessazonalizados - Extrativa mineral,,,
1239,PIB trimestral (1990=100) - Dados dessazonalizados - Transformação,,,
1240,PIB trimestral (1990=100) - Dados dessazonalizados - Construção civil,,,
1241,PIB trimestral (1990=100) - Dados dessazonalizados - Serviços industrias de utilidade pública,,,
1242,PIB trimestral (1995=100) - Dados dessazonalizados - Serviços (total) SCN-2010,"""T""",1996,"""Índice"""
1243,PIB trimestral (1990=100) - Dados dessazonalizados - Comércio,,,
1244,PIB trimestral (1990=100) - Dados dessazonalizados - Transportes,,,
1245,PIB trimestral (1990=100) - Dados dessazonalizados - Comunicações,,,
1246,PIB trimestral (1990=100) - Dados dessazonalizados - Administração pública,,,
1247,PIB trimestral (1990=100) - Dados dessazonalizados - Outros Serviços,,,
1248,PIB trimestral (1990=100) - Dados dessazonalizados - Instituições financeiras,,,
1249,PIB trimestral (1990=100) - Dados dessazonalizados - Aluguel de imóveis,,,
1250,PIB trimestral (1990=100) - Dados dessazonalizados - Dummy financeiro,,,
1251,PIB trimestral (1995=100) - Dados dessazonalizados - Valor adicionado a preços básicos SCN-2010,"""T""",1996,"""Índice"""
1252,PIB trimestral (1990=100) - Dados dessazonalizados - Impostos sobre produtos,,,
1253,PIB trimestral (1995=100) - Dados dessazonalizados - Produto Interno Bruto a preços de mercado SCN-2010,"""T""",1996,"""Índice"""
1254,Produção - Algodão (total),"""A""",1981,"""t"""
1255,Produção - Algodão (arbóreo),"""A""",1981,"""t"""
1256,Produção - Algodão (herbáceo),"""A""",1981,"""t"""
1257,Produção - Amendoim,"""A""",1981,"""t"""
1258,Produção - Arroz,"""A""",1981,"""t"""
1259,Produção - Banana,"""A""",1981,"""t"""
1260,Produção - Batata-inglesa,"""A""",1981,"""t"""
1261,Produção - Cacau em amêndoas,"""A""",1981,"""t"""
1262,Produção - Café em coco,"""A""",1981,"""t"""
1263,Produção - Cana-de-açúcar,"""A""",1981,"""t"""
1264,Produção - Cebola,"""A""",1981,"""t"""
1265,Produção - Feijão,"""A""",1981,"""t"""
1266,Produção - Fumo em folha,"""A""",1981,"""t"""
1267,Produção - Juta,"""A""",1981,"""t"""
1268,Produção - Laranja,"""A""",1981,"""t"""
1269,Produção - Mamona,"""A""",1981,"""t"""
1270,Produção - Mandioca,"""A""",1981,"""t"""
1271,Produção - Milho,"""A""",1981,"""t"""
1272,Produção - Sisal,"""A""",1981,"""t"""
1273,Produção - Soja,"""A""",1981,"""t"""
1274,Produção - Tomate,"""A""",1981,"""t"""
1275,Produção - Trigo,"""A""",1981,"""t"""
1276,Área colhida - Algodão (total),"""A""",1981,"""ha"""
1277,Área colhida - Algodão (arbóreo),"""A""",1981,"""ha"""
1278,Área colhida - Algodão (herbáceo),"""A""",1981,"""ha"""
1279,Área colhida - Amendoim,"""A""",1981,"""ha"""
1280,Área colhida - Arroz,"""A""",1981,"""ha"""
1281,Área colhida - Banana,"""A""",1981,"""ha"""
1282,Área colhida - Batata-inglesa,"""A""",1981,"""ha"""
1283,Área colhida - Cacau em amêndoas,"""A""",1981,"""ha"""
1284,Área colhida - Café em coco,"""A""",1981,"""ha"""
1285,Área colhida - Cana-de-açúcar,"""A""",1981,"""ha"""
1286,Área colhida - Cebola,"""A""",1981,"""ha"""
1287,Área colhida - Feijão,"""A""",1981,"""ha"""
1288,Área colhida - Fumo em folha,"""A""",1981,"""ha"""
1289,Área colhida - Juta,"""A""",1981,"""ha"""
1290,Área colhida - Laranja,"""A""",1981,"""ha"""
1291,Área colhida - Mamona,"""A""",1981,"""ha"""
1292,Área colhida - Mandioca,"""A""",1981,"""ha"""
1293,Área colhida - Milho,"""A""",1981,"""ha"""
1294,Área colhida - Sisal,"""A""",1981,"""ha"""
1295,Área colhida - Soja,"""A""",1981,"""ha"""
1296,Área colhida - Tomate,"""A""",1981,"""ha"""
1297,Área colhida - Trigo,"""A""",1981,"""ha"""
1298,Rebanhos - Bovino,"""A""",1990,"""Unidades"""
1299,Rebanhos - Suíno,"""A""",1990,"""Unidades"""
1300,Rebanhos - Eqüino,"""A""",1990,"""Unidades"""
1301,Rebanhos - Asinino,"""A""",1990,"""Unidades"""
1302,Rebanhos - Muar,"""A""",1990,"""Unidades"""
1303,Rebanhos - Bubalino,"""A""",1990,"""Unidades"""
1304,Rebanhos - Coelhos,"""A""",1990,"""Unidades"""
1305,Rebanhos - Ovino,"""A""",1990,"""Unidades"""
1306,Rebanhos - Galinhas,"""A""",1990,"""Unidades"""
1307,"Rebanhos - Galos, Frangas, Frangos e Pintos","""A""",1990,"""Unidades"""
1308,Rebanhos - Codornas,"""A""",1990,"""Unidades"""
1309,Rebanhos - Caprino,"""A""",1990,"""Unidades"""
1310,Quantidade de ovos produzida,"""M""",1989,"""Dúzias (mil)"""
1311,Indicadores da produção (1991=100) - Por gênero - Geral,,,
1312,Indicadores da produção (1991=100) - Por gênero - Extrativa mineral,,,
1313,Indicadores da produção (1991=100) - Por gênero - Indústria de transformação (total),,,
1314,Indicadores da produção (1991=100) - Por gênero - Minerais não metálicos,"""M""",1975,"""Índice"""
1315,Indicadores da produção (1991=100) - Por gênero - Metalúrgica,,,
1316,Indicadores da produção (1991=100) - Por gênero - Mecânica,,,
1317,Indicadores da produção (1991=100) - Por gênero - Material elétrico e de comunicações,,,
1318,Indicadores da produção (1991=100) - Por gênero - Material de transporte,,,
1319,Indicadores da produção (1991=100) - Por gênero - Madeira,,,
1320,Indicadores da produção (1991=100) - Por gênero - Mobiliário,,,
1321,Indicadores da produção (1991=100) - Por gênero - Papel e papelão,,,
1322,Indicadores da produção (1991=100) - Por gênero - Borracha,,,
1323,Indicadores da produção (1991=100) - Por gênero - Couros e peles,,,
1324,Indicadores da produção (1991=100) - Por gênero - Química,,,
1325,Indicadores da produção (1991=100) - Por gênero - Farmacêutica,"""M""",1975,"""Índice"""
1326,"Indicadores da produção (1991=100) - Por gênero - Perfumaria, sabões e velas",,,
1327,Indicadores da produção (1991=100) - Por gênero - Produtos de matérias plásticas,"""M""",1975,"""Índice"""
1328,Indicadores da produção (1991=100) - Por gênero - Têxtil,,,
1329,"Indicadores da produção (1991=100) - Por gênero - Vestuário, calçados e artefatos de couro","""M""",1975,"""Índice"""
1330,Indicadores da produção (1991=100) - Por gênero - Produtos alimentares,,,
1331,Indicadores da produção (1991=100) - Por gênero - Bebidas,,,
1332,Indicadores da produção (1991=100) - Por gênero - Fumo,,,
1333,Indicadores da produção (1991=100) - Por categoria de uso - Bens de capital,,,
1334,Indicadores da produção (1991=100) - Por categoria de uso - Bens intermediários,,,
1335,Indicadores da produção (1991=100) - Por categoria de uso - Bens de consumo (total),,,
1336,Indicadores da produção (1991=100) - Por categoria de uso - Bens de consumo (duráveis),,,
1337,Indicadores da produção (1991=100) - Por categoria de uso - Bens de consumo (não-duráveis e semiduráveis),,,
1338,Vendas industriais reais (1992=100) - Indústria de transformação-CNI,"""M""",1991,"""Índice"""
1339,Vendas industriais reais (Jun/1994=100) - Indústria de transformação-Fiesp,"""M""",1986,"""Índice"""
1340,Vendas industriais reais (1992=100) - Indústria de transformação-Firjan,"""M""",1992,"""Índice"""
1341,Utilização da capacidade instalada - Geral (CNI),"""M""",1991,"""%"""
1342,Utilização da capacidade instalada - Geral (Fiesp),"""M""",1986,"""%"""
1343,Utilização da capacidade instalada - Geral (Firjan),"""M""",1992,"""%"""
1344,Utilização da capacidade instalada - Geral (FGV),"""T""",1970,"""%"""
1345,Utilização da capacidade instalada - Bens de consumo,"""T""",1970,"""%"""
1346,Utilização da capacidade instalada - Bens de capital,"""T""",1970,"""%"""
1347,Utilização da capacidade instalada - Material de construção,"""T""",1970,"""%"""
1348,Utilização da capacidade instalada - Bens de consumo intermediário,"""T""",1970,"""%"""
1349,Utilização da capacidade instalada - Minerais não-metálicos,"""T""",1970,"""%"""
1350,Utilização da capacidade instalada - Metalúrgica,"""T""",1970,"""%"""
1351,Utilização da capacidade instalada - Mecânica,"""T""",1970,"""%"""
1352,Utilização da capacidade instalada - Material elétrico e de comunicações,"""T""",1970,"""%"""
1353,Utilização da capacidade instalada - Material de transporte,"""T""",1970,"""%"""
1354,Utilização da capacidade instalada - Madeira,"""T""",1977,"""%"""
1355,Utilização da capacidade instalada - Mobiliário,"""T""",1971,"""%"""
1356,Utilização da capacidade instalada - Papel e papelão,"""T""",1970,"""%"""
1357,Utilização da capacidade instalada - Borracha,"""T""",1970,"""%"""
1358,Utilização da capacidade instalada - Couros e peles,"""T""",1972,"""%"""
1359,Utilização da capacidade instalada - Química,"""T""",1971,"""%"""
1360,Utilização da capacidade instalada - Produtos farmacêuticos e veterinários,"""T""",1970,"""%"""
1361,"Utilização da capacidade instalada - Perfumaria, sabões e velas","""T""",1970,"""%"""
1362,Utilização da capacidade instalada - Matérias plásticas,"""T""",1970,"""%"""
1363,Utilização da capacidade instalada - Têxtil,"""T""",1970,"""%"""
1364,Utilização da capacidade instalada - Vestuário e calçados,"""T""",1970,"""%"""
1365,Utilização da capacidade instalada - Produtos alimentares,"""T""",1971,"""%"""
1366,Utilização da capacidade instalada - Bebidas,"""T""",1970,"""%"""
1367,Utilização da capacidade instalada - Fumo,"""T""",1970,"""%"""
1368,Utilização da capacidade instalada - Editorial e gráfica,"""T""",1977,"""%"""
1369,Utilização da capacidade instalada - Diversas,"""T""",1977,"""%"""
1370,Horas trabalhadas na produção (1992=100) - CNI,,,
1371,Horas trabalhadas na produção (Jun/1994=100) - Fiesp,,,
1372,Horas trabalhadas na produção (1992=100) - Firjan,"""M""",1992,"""Índice"""
1373,Produção total de autoveículos,"""M""",1993,"""unidades"""
1374,Produção de automóveis e comerciais leves,"""M""",1993,"""unidades"""
1375,Produção de caminhões,"""M""",1993,"""unidades"""
1376,Produção de ônibus,"""M""",1993,"""unidades"""
1377,Produção de motociclos,"""M""",1993,"""unidades"""
1378,Vendas de autoveículos (total),"""M""",1981,"""unidades"""
1379,Vendas de autoveículos no mercado interno,"""M""",1981,"""unidades"""
1380,Vendas de autoveículos no mercado externo,"""M""",1981,"""unidades"""
1381,Vendas de motociclos,"""M""",1986,"""unidades"""
1382,Produção de cultivadores motorizados,"""M""",1991,"""unidades"""
1383,Produção de tratores de rodas,"""M""",1991,"""unidades"""
1384,Produção de tratores de esteiras,"""M""",1991,"""unidades"""
1385,Produção de colheitadeiras,"""M""",1991,"""unidades"""
1386,Produção de retroescavadeiras,"""M""",1991,"""unidades"""
1387,Produção de outras máquinas agrícolas,"""M""",1991,"""unidades"""
1388,Produção de máquinas agrícolas (total),"""M""",1991,"""unidades"""
1389,Produção de derivados de petróleo - Óleo bruto,"""M""",1979,"""Barris/dia (mil)"""
1390,Produção de derivados de petróleo - LGN,"""M""",1979,"""Barris/dia (mil)"""
1391,Produção de derivados de petróleo - Total,"""M""",1979,"""Barris/dia (mil)"""
1392,Produção de derivados de petróleo - Gás natural,"""M""",1979,"""Barris/dia (milhões)"""
1393,Consumo de derivados de petróleo - Gasolina,"""M""",1979,"""Barris/dia (mil)"""
1394,Consumo de derivados de petróleo - GLP,"""M""",1979,"""Barris/dia (mil)"""
1395,Consumo de derivados de petróleo - Óleo combustível,"""M""",1979,"""Barris/dia (mil)"""
1396,Consumo de derivados de petróleo - Óleo diesel,"""M""",1979,"""Barris/dia (mil)"""
1397,Consumo de derivados de petróleo - Demais derivados,"""M""",1979,"""Barris/dia (mil)"""
1398,Consumo de derivados de petróleo - Total,"""M""",1979,"""Barris/dia (mil)"""
1399,Consumo de álcool carburante - Álcool hidratado,"""M""",1979,"""Barris/dia (mil)"""
1400,Consumo de álcool carburante - Álcool anidro,"""M""",1979,"""Barris/dia (mil)"""
1401,Consumo de álcool carburante - Total,"""M""",1979,"""Barris/dia (mil)"""
1402,Consumo de energia elétrica - Comercial,"""M""",1979,"""GWh"""
1403,Consumo de energia elétrica - Brasil - Residencial,"""M""",1979,"""GWh"""
1404,Consumo de energia elétrica - Brasil - Industrial,"""M""",1979,"""GWh"""
1405,Consumo de energia elétrica - Brasil - Outros,"""M""",1979,"""GWh"""
1406,Consumo de energia elétrica - Brasil - Total,"""M""",1979,"""GWh"""
1407,Consumo de energia elétrica - Região Norte - Comercial,"""M""",1979,"""GWh"""
1408,Consumo de energia elétrica - Região Norte - Residencial,"""M""",1979,"""GWh"""
1409,Consumo de energia elétrica - Região Norte - Industrial,"""M""",1979,"""GWh"""
1410,Consumo de energia elétrica - Região Norte - Outros,"""M""",1979,"""GWh"""
1411,Consumo de energia elétrica - Região Norte - Total,"""M""",1979,"""GWh"""
1412,Consumo de energia elétrica - Região Nordeste - Comercial,"""M""",1979,"""GWh"""
1413,Consumo de energia elétrica - Região Nordeste - Residencial,"""M""",1979,"""GWh"""
1414,Consumo de energia elétrica - Região Nordeste - Industrial,"""M""",1979,"""GWh"""
1415,Consumo de energia elétrica - Região Nordeste - Outros,"""M""",1979,"""GWh"""
1416,Consumo de energia elétrica - Região Nordeste - Total,"""M""",1979,"""GWh"""
1417,Consumo de energia elétrica - Região Sul - Comercial,"""M""",1979,"""GWh"""
1418,Consumo de energia elétrica - Região Sul - Residencial,"""M""",1979,"""GWh"""
1419,Consumo de energia elétrica - Região Sul - Industrial,"""M""",1979,"""GWh"""
1420,Consumo de energia elétrica - Região Sul - Outros,"""M""",1979,"""GWh"""
1421,Consumo de energia elétrica - Região Sul - Total,"""M""",1979,"""GWh"""
1422,Consumo de energia elétrica - Região Centro-Oeste - Comercial,"""M""",1979,"""GWh"""
1423,Consumo de energia elétrica - Região Centro-Oeste - Residencial,"""M""",1979,"""GWh"""
1424,Consumo de energia elétrica - Região Centro-Oeste - Industrial,"""M""",1979,"""GWh"""
1425,Consumo de energia elétrica - Região Centro-Oeste - Outros,"""M""",1979,"""GWh"""
1426,Consumo de energia elétrica - Região Centro-Oeste - Total,"""M""",1979,"""GWh"""
1427,Consumo de energia elétrica - Região Sudeste - Comercial,"""M""",1979,"""GWh"""
1428,Consumo de energia elétrica - Região Sudeste - Residencial,"""M""",1979,"""GWh"""
1429,Consumo de energia elétrica - Região Sudeste - Industrial,"""M""",1979,"""GWh"""
1430,Consumo de energia elétrica - Região Sudeste - Outros,"""M""",1979,"""GWh"""
1431,Consumo de energia elétrica - Região Sudeste - Total,"""M""",1979,"""GWh"""
1432,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Comércio (geral),,,
1433,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Comércio (geral) sem concessionárias,,,
1434,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Varejo de bens de consumo,,,
1435,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Bens duráveis,,,
1436,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Lojas de departamento,,,
1437,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Utilidades domésticas,,,
1438,"Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Cine, foto e som e óticas/CD",,,
1439,"Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Cine, foto e som e óticas",,,
1440,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Lojas de CD,,,
1441,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Móveis e decorações,,,
1442,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Bens semiduráveis,,,
1443,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Vestuário,,,
1444,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Tecidos,,,
1445,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Calçados,"""M""",1990,"""Índice"""
1446,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Bens não-duráveis,,,
1447,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Supermercados,,,
1448,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Farmácia e perfumaria,,,
1449,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Comércio automotivo,,,
1450,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Concessionárias de veículos,,,
1451,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Autopeças e acessórios,,,
1452,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Materiais de construção,"""M""",1990,"""Índice"""
1453,Indicador de Movimento do Comércio a Prazo - IMC,"""M""",1986,"""unidades"""
1454,Indicador de Movimento de Cheques,"""M""",1986,"""unidades"""
1455,Índice volume de vendas no varejo - Total - Brasil,"""M""",2000,"""Índice"""
1456,Índice de volume de vendas no varejo - Total - Rondônia,"""M""",2000,"""Índice"""
1457,Índice de volume de vendas no varejo - Total - Acre,"""M""",2000,"""Índice"""
1458,Índice de volume de vendas no varejo - Total - Amazonas,"""M""",2000,"""Índice"""
1459,Índice de volume de vendas no varejo - Total - Roraima,"""M""",2000,"""Índice"""
1460,Índice de volume de vendas no varejo - Total - Pará,"""M""",2000,"""Índice"""
1461,Índice de volume de vendas no varejo - Total - Amapá,"""M""",2000,"""Índice"""
1462,Índice de volume de vendas no varejo - Total - Tocantins,"""M""",2000,"""Índice"""
1463,Índice de volume de vendas no varejo - Total - Maranhão,"""M""",2000,"""Índice"""
1464,Índice de volume de vendas no varejo - Total - Piauí,"""M""",2000,"""Índice"""
1465,Índice de volume de vendas no varejo - Total - Ceará,"""M""",2000,"""Índice"""
1466,Índice volume de vendas no varejo (2003=100) - Total - Rio Grande do Norte,"""M""",2000,"""Índice"""
1467,Índice volume de vendas no varejo (2003=100) - Total - Paraíba,"""M""",2000,"""Índice"""
1468,Índice volume de vendas no varejo (2003=100) - Total - Pernambuco,"""M""",2000,"""Índice"""
1469,Índice volume de vendas no varejo (2003=100) - Total - Alagoas,"""M""",2000,"""Índice"""
1470,Índice volume de vendas no varejo (2003=100) - Total - Sergipe,"""M""",2000,"""Índice"""
1471,Índice de volume de vendas no varejo - Total - Bahia,"""M""",2000,"""Índice"""
1472,Índice de volume de vendas no varejo - Total - Minas Gerais,"""M""",2000,"""Índice"""
1473,Índice volume de vendas no varejo - Total - Espírito Santo,"""M""",2000,"""Índice"""
1474,Índice volume de vendas no varejo - Total - Rio de Janeiro,"""M""",2000,"""Índice"""
1475,Índice de volume de vendas no varejo - Total - São Paulo,"""M""",2000,"""Índice"""
1476,Índice de volume de vendas no varejo - Total - Paraná,"""M""",2000,"""Índice"""
1477,Índice de volume de vendas no varejo - Total - Santa Catarina,"""M""",2000,"""Índice"""
1478,Índice de volume de vendas no varejo - Total - Rio Grande do Sul,"""M""",2000,"""Índice"""
1479,Índice de volume de vendas no varejo - Total - Mato Grosso do Sul,"""M""",2000,"""Índice"""
1480,Índice de volume de vendas no varejo - Total - Mato Grosso,"""M""",2000,"""Índice"""
1481,Índice de volume de vendas no varejo - Total - Goiás,"""M""",2000,"""Índice"""
1482,Índice de volume de vendas no varejo - Total - Distrito Federal,"""M""",2000,"""Índice"""
1483,Índice volume de vendas no varejo - Combustíveis e lubrificantes - Brasil,"""M""",2000,"""Índice"""
1484,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Ceará,"""M""",2000,"""Índice"""
1485,Índice volume de vendas no varejo (2003=100) - Combustíveis e lubrificantes - Pernambuco,"""M""",2000,"""Índice"""
1486,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Bahia,"""M""",2000,"""Índice"""
1487,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Minas Gerais,"""M""",2000,"""Índice"""
1488,Índice volume de vendas no varejo - Combustíveis e lubrificantes - Espírito Santo,"""M""",2000,"""Índice"""
1489,Índice volume de vendas no varejo - Combustíveis e lubrificantes - Rio de Janeiro,"""M""",2000,"""Índice"""
1490,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - São Paulo,"""M""",2000,"""Índice"""
1491,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Paraná,"""M""",2000,"""Índice"""
1492,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Santa Catarina,"""M""",2000,"""Índice"""
1493,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Rio Grande do Sul,"""M""",2000,"""Índice"""
1494,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Goiás,"""M""",2000,"""Índice"""
1495,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Distrito Federal,"""M""",2000,"""Índice"""
1496,"Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Brasil","""M""",2000,"""Índice"""
1497,"Índice de volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Ceará","""M""",2000,"""Índice"""
1498,"Índice volume de vendas no varejo (2003=100) - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Pernambuco","""M""",2000,"""Índice"""
1499,"Índice de volume de vendas no varejo - Hipermercados, supermercados, produtos alimentícios, bebidas e fumo - Bahia","""M""",2000,"""Índice"""
1500,"Índice de volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Minas Gerais","""M""",2000,"""Índice"""
1501,"Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Espírito Santo","""M""",2000,"""Índice"""
1502,"Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Rio de Janeiro",,,
1503,"Índice de volume de vendas no varejo - Hipermercados, supermercados, produtos alimentícios, bebidas e fumo - São Paulo","""M""",2000,"""Índice"""
1504,"Índice de volume de vendas no varejo - Hiper/supermercados, Prod. alimentícios, bebidas, fumo - Paraná","""M""",2000,"""Índice"""
1505,"Índice de volume de vendas no varejo - Hiper/supermercados, Prod. alimentícios, bebidas, fumo - Santa Catarina","""M""",2000,"""Índice"""
1506,"Índice de volume de vendas no varejo - Hipermercados, supermercados, produtos alimentícios, bebidas e fumo - Rio Grande do Sul","""M""",2000,"""Índice"""
1507,"Índice de volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Goiás","""M""",2000,"""Índice"""
1508,"Índice de volume de vendas no varejo - Hiper/supermercado, prod.alimentícios, bebidas, fumo - Distrito Federal","""M""",2000,"""Índice"""
1509,"Índice volume de vendas no varejo - Tecido, vestuário e calçado - Brasil","""M""",2000,"""Índice"""
1510,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Ceará","""M""",2000,"""Índice"""
1511,"Índice volume de vendas no varejo (2003=100) - Tecido, vestuário e calçado - Pernambuco","""M""",2000,"""Índice"""
1512,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Bahia","""M""",2000,"""Índice"""
1513,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Minas Gerais","""M""",2000,"""Índice"""
1514,"Índice volume de vendas no varejo - Tecido, vestuário e calçado - Espírito Santo","""M""",2000,"""Índice"""
1515,"Índice volume de vendas no varejo - Tecido, vestuário e calçado - Rio de Janeiro","""M""",2000,"""Índice"""
1516,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - São Paulo","""M""",2000,"""Índice"""
1517,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Paraná","""M""",2000,"""Índice"""
1518,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Santa Catarina","""M""",2000,"""Índice"""
1519,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Rio Grande do Sul","""M""",2000,"""Índice"""
1520,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Goiás","""M""",2000,"""Índice"""
1521,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Distrito Federal","""M""",2000,"""Índice"""
1522,Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil,"""M""",2000,"""Índice"""
1523,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Ceará,"""M""",2000,"""Índice"""
1524,Índice volume de vendas no varejo (2003=100) - Móveis e eletrodomésticos - Pernambuco,"""M""",2000,"""Índice"""
1525,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Bahia,"""M""",2000,"""Índice"""
1526,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Minas Gerais,"""M""",2000,"""Índice"""
1527,Índice volume de vendas no varejo - Móveis e eletrodomésticos - Espírito Santo,"""M""",2000,"""Índice"""
1528,Índice volume de vendas no varejo - Móveis e eletrodomésticos - Rio de Janeiro,"""M""",2000,"""Índice"""
1529,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - São Paulo,"""M""",2000,"""Índice"""
1530,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Paraná,"""M""",2000,"""Índice"""
1531,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Santa Catarina,"""M""",2000,"""Índice"""
1532,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Rio Grande do Sul,"""M""",2000,"""Índice"""
1533,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Goiás,"""M""",2000,"""Índice"""
1534,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Distrito Federal,"""M""",2000,"""Índice"""
1535,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Brasil,"""M""",2000,"""Índice"""
1536,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Ceará,"""M""",2000,"""Índice"""
1537,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Pernambuco,"""M""",2000,"""Índice"""
1538,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Bahia,"""M""",2000,"""Índice"""
1539,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Minas Gerais,"""M""",2000,"""Índice"""
1540,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Espírito Santo,"""M""",2000,"""Índice"""
1541,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Rio de Janeiro,"""M""",2000,"""Índice"""
