,cod,descr,per,anoinicio,unidade
1834,2053,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1835,2054,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governo Federal,"""M""",1998,"""u.m.c. (milhões)"""
1836,2055,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Banco Central,"""M""",1998,"""u.m.c. (milhões)"""
1837,2056,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1838,2057,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1839,2058,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1840,2059,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Empresas estatais,"""M""",2001,"""u.m.c. (milhões)"""
1841,2060,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Empresas estatais federais,"""M""",2001,"""u.m.c. (milhões)"""
1842,2061,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Empresas estatais estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1843,2062,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Empresas estatais municipais,"""M""",1998,"""u.m.c. (milhões)"""
1844,2063,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1845,2064,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Governo Federal,"""M""",1998,"""u.m.c. (milhões)"""
1846,2065,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Banco Central,"""M""",1998,"""u.m.c. (milhões)"""
1847,2066,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1848,2067,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1849,2068,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1850,2069,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Empresas estatais,"""M""",2001,"""u.m.c. (milhões)"""
1851,2070,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Empresas estatais federais,"""M""",2001,"""u.m.c. (milhões)"""
1852,2071,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Empresas estatais estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1853,2072,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Interna - Empresas estatais municipais,"""M""",1998,"""u.m.c. (milhões)"""
1854,2073,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1855,2074,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Governo Federal,"""M""",1998,"""u.m.c. (milhões)"""
1856,2075,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Banco Central,"""M""",1998,"""u.m.c. (milhões)"""
1857,2076,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1858,2077,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1859,2078,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1860,2079,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Empresas estatais,"""M""",2001,"""u.m.c. (milhões)"""
1861,2080,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Empresas estatais federais,"""M""",2001,"""u.m.c. (milhões)"""
1862,2081,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Empresas estatais estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1863,2082,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Externa - Empresas estatais municipais,"""M""",1998,"""u.m.c. (milhões)"""
1864,2083,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1865,2084,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1866,2085,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1867,2086,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1868,2087,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1869,2088,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1870,2089,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1871,2090,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1872,2091,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1873,2092,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Total - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1874,2093,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1875,2094,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1876,2095,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1877,2096,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1878,2097,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1879,2098,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1880,2099,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1881,2100,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1882,2101,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1883,2102,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Interna - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1884,2103,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1885,2104,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1886,2105,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1887,2106,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1888,2107,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1889,2108,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1890,2109,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1891,2110,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1892,2111,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1893,2112,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado nominal - Externa - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1894,2113,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1895,2114,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1896,2115,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1897,2116,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1898,2117,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1899,2118,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1900,2119,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1901,2120,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1902,2121,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1903,2122,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Total - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1904,2123,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1905,2124,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1906,2125,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1907,2126,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1908,2127,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1909,2128,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1910,2129,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1911,2130,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1912,2131,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1913,2132,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Interna - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1914,2133,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1915,2134,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1916,2135,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1917,2136,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1918,2137,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1919,2138,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1920,2139,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1921,2140,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1922,2141,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1923,2142,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros nominais - Externa - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1924,2143,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1925,2144,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1926,2145,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1927,2146,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1928,2147,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1929,2148,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1930,2149,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Empresas estatais,"""M""",2001,"""u.m.c. (milhões)"""
1931,2150,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Empresas estatais federais,"""M""",2001,"""u.m.c. (milhões)"""
1932,2151,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1933,2152,NFSP sem desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado primário - Total - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1934,2153,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1935,2154,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1936,2155,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1937,2156,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1938,2157,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1939,2158,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1940,2159,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1941,2160,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1942,2161,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1943,2162,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Total - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1944,2163,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1945,2164,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1946,2165,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1947,2166,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1948,2167,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1949,2168,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1950,2169,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1951,2170,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1952,2171,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1953,2172,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Interna - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1954,2173,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1955,2174,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1956,2175,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1957,2176,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1958,2177,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1959,2178,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1960,2179,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1961,2180,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1962,2181,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1963,2182,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Resultado operacional - Externa - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1964,2183,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1965,2184,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1966,2185,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1967,2186,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1968,2187,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1969,2188,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1970,2189,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1971,2190,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1972,2191,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1973,2192,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Total - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1974,2193,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1975,2194,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1976,2195,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1977,2196,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1978,2197,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1979,2198,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1980,2199,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1981,2200,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1982,2201,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1983,2202,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Interna - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1984,2203,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Governo Federal e Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1985,2204,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Governo Federal,"""M""",1999,"""u.m.c. (milhões)"""
1986,2205,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Banco Central,"""M""",1999,"""u.m.c. (milhões)"""
1987,2206,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Governos estaduais e municipais,"""M""",1991,"""u.m.c. (milhões)"""
1988,2207,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Governos estaduais,"""M""",1998,"""u.m.c. (milhões)"""
1989,2208,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Governos municipais,"""M""",1998,"""u.m.c. (milhões)"""
1990,2209,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Empresas estatais,"""M""",1991,"""u.m.c. (milhões)"""
1991,2210,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Empresas estatais federais,"""M""",1996,"""u.m.c. (milhões)"""
1992,2211,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Empresas estatais estaduais,"""M""",1996,"""u.m.c. (milhões)"""
1993,2212,NFSP com desvalorização cambial - Fluxo mensal corrente (u.m.c.) - Juros reais - Externa - Empresas estatais municipais,"""M""",1996,"""u.m.c. (milhões)"""
1994,2213,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Total emitido,"""M""",1991,"""u.m.c. (milhões)"""
1995,2214,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - Carteira do Banco Central,"""M""",1991,"""u.m.c. (milhões)"""
1996,2215,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - Tesouraria MP nº 1.789,"""M""",1991,"""u.m.c. (milhões)"""
1997,2216,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - Total em mercado,"""M""",1970,"""u.m.c. (milhões)"""
1998,2217,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - LTN,"""M""",1991,"""u.m.c. (milhões)"""
1999,2218,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - LFT,"""M""",1991,"""u.m.c. (milhões)"""
2000,2219,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - NTN,"""M""",1991,"""u.m.c. (milhões)"""
2001,2220,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - CTN,"""M""",1991,"""u.m.c. (milhões)"""
2002,2221,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - CFT,"""M""",1991,"""u.m.c. (milhões)"""
2003,2222,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - BTN,"""M""",1991,"""u.m.c. (milhões)"""
2004,2223,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional - Posição de custódia - Créditos securitizados,"""M""",1991,"""u.m.c. (milhões)"""
