,cod,descr,per,anoinicio,unidade
60,67,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de duplicatas - Taxa total,"""D""",1994,"""% a.d."""
61,68,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de duplicatas,"""D""",1993,"""u.m.c. (mil)"""
62,69,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de notas promissórias - Taxa total,"""D""",1994,"""% a.d."""
63,70,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Desconto de notas promissórias,"""D""",1993,"""u.m.c. (mil)"""
64,73,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Capital de giro - Taxa total,"""D""",1994,"""% a.d."""
65,74,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Capital de giro,"""D""",1993,"""u.m.c. (mil)"""
66,75,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Capital de giro - Taxa total,"""D""",1994,"""% a.d."""
67,76,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Capital de giro,"""D""",1993,"""u.m.c. (mil)"""
68,77,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Conta garantida - Taxa total,"""D""",1994,"""% a.d."""
69,78,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Conta garantida,"""D""",1993,"""u.m.c. (mil)"""
70,79,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Conta garantida - Taxa total,"""D""",1994,"""% a.d."""
71,80,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Conta garantida,"""D""",1993,"""u.m.c. (mil)"""
72,81,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,"""D""",1994,"""% a.d."""
73,82,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica,"""D""",1993,"""u.m.c. (mil)"""
74,83,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,"""D""",1994,"""% a.d."""
75,84,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica,"""D""",1993,"""u.m.c. (mil)"""
76,85,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Vendor - Taxa total,"""D""",1994,"""% a.d."""
77,86,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Vendor,"""D""",1993,"""u.m.c. (mil)"""
78,87,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Vendor - Taxa total,"""D""",1994,"""% a.d."""
79,88,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Vendor,"""D""",1993,"""u.m.c. (mil)"""
80,89,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC) - Taxa total,"""D""",1994,"""% a.d."""
81,90,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC),"""D""",1993,"""u.m.c. (mil)"""
82,91,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Export notes - Taxa total,"""D""",1994,"""% a.d."""
83,92,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Export notes,"""D""",1993,"""u.m.c. (mil)"""
84,93,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Repasses externos - Taxa total,"""D""",1994,"""% a.d."""
85,94,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Repasses externos,"""D""",1993,"""u.m.c. (mil)"""
86,95,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Cheque especial - Taxa total,"""D""",1994,"""% a.d."""
87,96,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Cheque especial,"""D""",1993,"""u.m.c. (mil)"""
88,97,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Cheque especial - Taxa total,"""D""",1994,"""% a.d."""
89,98,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Cheque especial,"""D""",1993,"""u.m.c. (mil)"""
90,99,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Crédito pessoal - Taxa total,"""D""",1994,"""% a.d."""
91,100,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Crédito pessoal,"""D""",1993,"""u.m.c. (mil)"""
92,101,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Crédito pessoal - Taxa total,"""D""",1994,"""% a.d."""
93,102,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Crédito pessoal,"""D""",1993,"""u.m.c. (mil)"""
94,103,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física - Taxa total,"""D""",1994,"""% a.d."""
95,104,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física,"""D""",1993,"""u.m.c. (mil)"""
96,105,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física - Taxa total,"""D""",1994,"""% a.d."""
97,106,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física,"""D""",1993,"""u.m.c. (mil)"""
98,108,BTN/UFIR mensal,"""M""",1989,"""u.m.c."""
99,109,Fundo de aplicações financeiras - Aplicações em depósitos obrigatórios,"""M""",1991,"""u.m.c. (mil)"""
100,110,Fundo de aplicações financeiras - Aplicações em depósitos inst. títulos TDE,"""M""",1991,"""u.m.c. (mil)"""
101,111,Fundo de aplicações financeiras - Aplicações em operações compromissadas,"""M""",1991,"""u.m.c. (mil)"""
102,112,Fundo de aplicações financeiras - Aplicações em quotas fundos desenvolvimento social,"""M""",1991,"""u.m.c. (mil)"""
103,113,Fundo de aplicações financeiras - Aplicações em títulos do Tesouro Nacional,"""M""",1991,"""u.m.c. (mil)"""
104,114,Fundo de aplicações financeiras - Aplicações em títulos estaduais ou municipais,"""M""",1991,"""u.m.c. (mil)"""
105,115,Fundo de aplicações financeiras - Aplicações em títulos privados,"""M""",1991,"""u.m.c. (mil)"""
106,116,Fundo de aplicações financeiras - Aplicações em títulos de desenvolvimento econômico,"""M""",1991,"""u.m.c. (mil)"""
107,117,Fundo de aplicações financeiras - Aplicações em títulos vinculados a projetos agrícolas,"""M""",1991,"""u.m.c. (mil)"""
108,118,Fundo de aplicações financeiras - Aplicações em letras hipotecárias,"""M""",1991,"""u.m.c. (mil)"""
109,119,Fundo de comodities - Aplicações em export notes,"""M""",1992,"""u.m.c. (mil)"""
110,120,Fundo de comodities - Aplicações em CDB/RDB,"""M""",1992,"""u.m.c. (mil)"""
111,121,Fundo de comodities - Aplicações em Warrants,"""M""",1992,"""u.m.c. (mil)"""
112,122,Fundo de comodities - Aplicações em certificados de mercadorias,"""M""",1992,"""u.m.c. (mil)"""
113,123,Fundo de comodities - Aplicações em títulos federais,"""M""",1992,"""u.m.c. (mil)"""
114,124,Fundo de comodities - Aplicações em títulos estaduais ou municipais,"""M""",1992,"""u.m.c. (mil)"""
115,125,Fundo de comodities - Aplicações em títulos privados,"""M""",1992,"""u.m.c. (mil)"""
116,126,Fundo de comodities - Aplicações em quotas FAF,"""M""",1992,"""u.m.c. (mil)"""
117,127,Fundo de comodities - Aplicações em notas promissórias,"""M""",1992,"""u.m.c. (mil)"""
118,128,Fundo de comodities - Aplicações em ações,"""M""",1992,"""u.m.c. (mil)"""
119,129,Fundo de comodities - Aplicações em ouro,"""M""",1992,"""u.m.c. (mil)"""
120,130,Fundo mútuo de renda fixa - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
121,131,Fundo mútuo de renda fixa - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
122,132,Fundo mútuo de renda fixa - Aplicações em títulos estaduais e municipais,"""M""",1993,"""u.m.c. (mil)"""
123,133,Fundo mútuo de renda fixa - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
124,134,Fundo mútuo de renda fixa - Aplicações em debêntures,"""M""",1993,"""u.m.c. (mil)"""
125,135,Fundo mútuo de renda fixa - Aplicações em títulos privados,"""M""",1993,"""u.m.c. (mil)"""
126,136,Fundo mútuo de renda fixa - Aplicações em juros do mercado futuro,"""M""",1993,"""u.m.c. (mil)"""
127,137,Fundo mútuo de renda fixa - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
128,138,Fundo mútuo de renda fixa - Aplicações em operações compromissadas,"""M""",1993,"""u.m.c. (mil)"""
129,139,Fundo mútuo de renda fixa - Outras aplicações,"""M""",1993,"""u.m.c. (mil)"""
130,140,Fundo de ações-tradicional - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
131,141,Fundo de ações-tradicional - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
132,142,Fundo de ações-tradicional - Aplicações em títulos estaduais e municipais,"""M""",1993,"""u.m.c. (mil)"""
133,143,Fundo de ações-tradicional - Aplicações em índices de ações,"""M""",1993,"""u.m.c. (mil)"""
134,144,Fundo de ações-tradicional - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
135,145,Fundo de ações-tradicional - Aplicações em debêntures,"""M""",1993,"""u.m.c. (mil)"""
136,146,Fundo de ações-tradicional - Aplicações em títulos privados,"""M""",1993,"""u.m.c. (mil)"""
137,147,Fundo de ações-tradicional - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
138,148,Fundo de ações-tradicional - Outras aplicações,"""M""",1993,"""u.m.c. (mil)"""
139,149,Fundo de ações-carteira livre - Aplicações em títulos do Tesouro Nacional,"""M""",1993,"""u.m.c. (mil)"""
140,150,Fundo de ações-carteira livre - Aplicações em títulos do Banco Central,"""M""",1993,"""u.m.c. (mil)"""
141,151,Fundo de ações-carteira livre - Aplicações em títulos estaduais e municipais,"""M""",1993,"""u.m.c. (mil)"""
142,152,Fundo de ações-carteira livre - Aplicações em índices de ações,"""M""",1993,"""u.m.c. (mil)"""
143,153,Fundo de ações-carteira livre - Aplicações em ações,"""M""",1993,"""u.m.c. (mil)"""
144,154,Fundo de ações-carteira livre - Aplicações em debêntures,"""M""",1993,"""u.m.c. (mil)"""
145,155,Fundo de ações-carteira livre - Aplicações em títulos privados,"""M""",1993,"""u.m.c. (mil)"""
146,156,Fundo de ações-carteira livre - Aplicações em quotas de fundos,"""M""",1993,"""u.m.c. (mil)"""
