cod,descr
1342,Utilização da capacidade instalada - Geral (Fiesp)
1343,Utilização da capacidade instalada - Geral (Firjan)
1344,Utilização da capacidade instalada - Geral (FGV)
1345,Utilização da capacidade instalada - Bens de consumo
1346,Utilização da capacidade instalada - Bens de capital
1347,Utilização da capacidade instalada - Material de construção
1348,Utilização da capacidade instalada - Bens de consumo intermediário
1349,Utilização da capacidade instalada - Minerais não-metálicos
1350,Utilização da capacidade instalada - Metalúrgica
1351,Utilização da capacidade instalada - Mecânica
1352,Utilização da capacidade instalada - Material elétrico e de comunicações
1353,Utilização da capacidade instalada - Material de transporte
1354,Utilização da capacidade instalada - Madeira
1355,Utilização da capacidade instalada - Mobiliário
1356,Utilização da capacidade instalada - Papel e papelão
1357,Utilização da capacidade instalada - Borracha
1358,Utilização da capacidade instalada - Couros e peles
1359,Utilização da capacidade instalada - Química
1360,Utilização da capacidade instalada - Produtos farmacêuticos e veterinários
1361,"Utilização da capacidade instalada - Perfumaria, sabões e velas"
1362,Utilização da capacidade instalada - Matérias plásticas
1363,Utilização da capacidade instalada - Têxtil
1364,Utilização da capacidade instalada - Vestuário e calçados
1365,Utilização da capacidade instalada - Produtos alimentares
1366,Utilização da capacidade instalada - Bebidas
1367,Utilização da capacidade instalada - Fumo
1368,Utilização da capacidade instalada - Editorial e gráfica
1369,Utilização da capacidade instalada - Diversas
1370,Horas trabalhadas na produção (1992=100) - CNI
1371,Horas trabalhadas na produção (Jun/1994=100) - Fiesp
1372,Horas trabalhadas na produção (1992=100) - Firjan
1373,Produção total de autoveículos
1374,Produção de automóveis e comerciais leves
1375,Produção de caminhões
1376,Produção de ônibus
1377,Produção de motociclos
1378,Vendas de autoveículos (total)
1379,Vendas de autoveículos no mercado interno
1380,Vendas de autoveículos no mercado externo
1381,Vendas de motociclos
1382,Produção de cultivadores motorizados
1383,Produção de tratores de rodas
1384,Produção de tratores de esteiras
1385,Produção de colheitadeiras
1386,Produção de retroescavadeiras
1387,Produção de outras máquinas agrícolas
1388,Produção de máquinas agrícolas (total)
1389,Produção de derivados de petróleo - Óleo bruto
1390,Produção de derivados de petróleo - LGN
1391,Produção de derivados de petróleo - Total
1392,Produção de derivados de petróleo - Gás natural
1393,Consumo de derivados de petróleo - Gasolina
1394,Consumo de derivados de petróleo - GLP
1395,Consumo de derivados de petróleo - Óleo combustível
1396,Consumo de derivados de petróleo - Óleo diesel
1397,Consumo de derivados de petróleo - Demais derivados
1398,Consumo de derivados de petróleo - Total
1399,Consumo de álcool carburante - Álcool hidratado
1400,Consumo de álcool carburante - Álcool anidro
1401,Consumo de álcool carburante - Total
1402,Consumo de energia elétrica - Comercial
1403,Consumo de energia elétrica - Brasil - Residencial
1404,Consumo de energia elétrica - Brasil - Industrial
1405,Consumo de energia elétrica - Brasil - Outros
1406,Consumo de energia elétrica - Brasil - Total
1407,Consumo de energia elétrica - Região Norte - Comercial
1408,Consumo de energia elétrica - Região Norte - Residencial
1409,Consumo de energia elétrica - Região Norte - Industrial
1410,Consumo de energia elétrica - Região Norte - Outros
1411,Consumo de energia elétrica - Região Norte - Total
1412,Consumo de energia elétrica - Região Nordeste - Comercial
1413,Consumo de energia elétrica - Região Nordeste - Residencial
1414,Consumo de energia elétrica - Região Nordeste - Industrial
1415,Consumo de energia elétrica - Região Nordeste - Outros
1416,Consumo de energia elétrica - Região Nordeste - Total
1417,Consumo de energia elétrica - Região Sul - Comercial
1418,Consumo de energia elétrica - Região Sul - Residencial
1419,Consumo de energia elétrica - Região Sul - Industrial
1420,Consumo de energia elétrica - Região Sul - Outros
1421,Consumo de energia elétrica - Região Sul - Total
1422,Consumo de energia elétrica - Região Centro-Oeste - Comercial
1423,Consumo de energia elétrica - Região Centro-Oeste - Residencial
1424,Consumo de energia elétrica - Região Centro-Oeste - Industrial
1425,Consumo de energia elétrica - Região Centro-Oeste - Outros
1426,Consumo de energia elétrica - Região Centro-Oeste - Total
1427,Consumo de energia elétrica - Região Sudeste - Comercial
1428,Consumo de energia elétrica - Região Sudeste - Residencial
1429,Consumo de energia elétrica - Região Sudeste - Industrial
1430,Consumo de energia elétrica - Região Sudeste - Outros
1431,Consumo de energia elétrica - Região Sudeste - Total
1432,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Comércio (geral)
1433,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Comércio (geral) sem concessionárias
1434,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Varejo de bens de consumo
1435,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Bens duráveis
1436,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Lojas de departamento
1437,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Utilidades domésticas
1438,"Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Cine, foto e som e óticas/CD"
1439,"Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Cine, foto e som e óticas"
1440,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Lojas de CD
1441,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Móveis e decorações
1442,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Bens semiduráveis
1443,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Vestuário
1444,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Tecidos
1445,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Calçados
1446,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Bens não-duráveis
1447,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Supermercados
1448,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Farmácia e perfumaria
1449,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Comércio automotivo
1450,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Concessionárias de veículos
1451,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Autopeças e acessórios
1452,Faturamento real do comércio varejista região metropolitana São Paulo (1998=100) - Materiais de construção
1453,Indicador de Movimento do Comércio a Prazo - IMC
1454,Indicador de Movimento de Cheques
1455,Índice volume de vendas no varejo - Total - Brasil
1456,Índice de volume de vendas no varejo - Total - Rondônia
1457,Índice de volume de vendas no varejo - Total - Acre
1458,Índice de volume de vendas no varejo - Total - Amazonas
1459,Índice de volume de vendas no varejo - Total - Roraima
1460,Índice de volume de vendas no varejo - Total - Pará
1461,Índice de volume de vendas no varejo - Total - Amapá
1462,Índice de volume de vendas no varejo - Total - Tocantins
1463,Índice de volume de vendas no varejo - Total - Maranhão
1464,Índice de volume de vendas no varejo - Total - Piauí
1465,Índice de volume de vendas no varejo - Total - Ceará
1466,Índice volume de vendas no varejo (2003=100) - Total - Rio Grande do Norte
1467,Índice volume de vendas no varejo (2003=100) - Total - Paraíba
1468,Índice volume de vendas no varejo (2003=100) - Total - Pernambuco
1469,Índice volume de vendas no varejo (2003=100) - Total - Alagoas
1470,Índice volume de vendas no varejo (2003=100) - Total - Sergipe
1471,Índice de volume de vendas no varejo - Total - Bahia
1472,Índice de volume de vendas no varejo - Total - Minas Gerais
1473,Índice volume de vendas no varejo - Total - Espírito Santo
1474,Índice volume de vendas no varejo - Total - Rio de Janeiro
1475,Índice de volume de vendas no varejo - Total - São Paulo
1476,Índice de volume de vendas no varejo - Total - Paraná
1477,Índice de volume de vendas no varejo - Total - Santa Catarina
1478,Índice de volume de vendas no varejo - Total - Rio Grande do Sul
1479,Índice de volume de vendas no varejo - Total - Mato Grosso do Sul
1480,Índice de volume de vendas no varejo - Total - Mato Grosso
1481,Índice de volume de vendas no varejo - Total - Goiás
1482,Índice de volume de vendas no varejo - Total - Distrito Federal
1483,Índice volume de vendas no varejo - Combustíveis e lubrificantes - Brasil
1484,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Ceará
1485,Índice volume de vendas no varejo (2003=100) - Combustíveis e lubrificantes - Pernambuco
1486,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Bahia
1487,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Minas Gerais
1488,Índice volume de vendas no varejo - Combustíveis e lubrificantes - Espírito Santo
1489,Índice volume de vendas no varejo - Combustíveis e lubrificantes - Rio de Janeiro
1490,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - São Paulo
1491,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Paraná
1492,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Santa Catarina
1493,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Rio Grande do Sul
1494,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Goiás
1495,Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Distrito Federal
1496,"Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Brasil"
1497,"Índice de volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Ceará"
1498,"Índice volume de vendas no varejo (2003=100) - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Pernambuco"
1499,"Índice de volume de vendas no varejo - Hipermercados, supermercados, produtos alimentícios, bebidas e fumo - Bahia"
1500,"Índice de volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Minas Gerais"
1501,"Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Espírito Santo"
1502,"Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Rio de Janeiro"
1503,"Índice de volume de vendas no varejo - Hipermercados, supermercados, produtos alimentícios, bebidas e fumo - São Paulo"
1504,"Índice de volume de vendas no varejo - Hiper/supermercados, Prod. alimentícios, bebidas, fumo - Paraná"
1505,"Índice de volume de vendas no varejo - Hiper/supermercados, Prod. alimentícios, bebidas, fumo - Santa Catarina"
1506,"Índice de volume de vendas no varejo - Hipermercados, supermercados, produtos alimentícios, bebidas e fumo - Rio Grande do Sul"
1507,"Índice de volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Goiás"
1508,"Índice de volume de vendas no varejo - Hiper/supermercado, prod.alimentícios, bebidas, fumo - Distrito Federal"
1509,"Índice volume de vendas no varejo - Tecido, vestuário e calçado - Brasil"
1510,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Ceará"
1511,"Índice volume de vendas no varejo (2003=100) - Tecido, vestuário e calçado - Pernambuco"
1512,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Bahia"
1513,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Minas Gerais"
1514,"Índice volume de vendas no varejo - Tecido, vestuário e calçado - Espírito Santo"
1515,"Índice volume de vendas no varejo - Tecido, vestuário e calçado - Rio de Janeiro"
1516,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - São Paulo"
1517,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Paraná"
1518,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Santa Catarina"
1519,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Rio Grande do Sul"
1520,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Goiás"
1521,"Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Distrito Federal"
1522,Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil
1523,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Ceará
1524,Índice volume de vendas no varejo (2003=100) - Móveis e eletrodomésticos - Pernambuco
1525,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Bahia
1526,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Minas Gerais
1527,Índice volume de vendas no varejo - Móveis e eletrodomésticos - Espírito Santo
1528,Índice volume de vendas no varejo - Móveis e eletrodomésticos - Rio de Janeiro
1529,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - São Paulo
1530,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Paraná
1531,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Santa Catarina
1532,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Rio Grande do Sul
1533,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Goiás
1534,Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Distrito Federal
1535,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Brasil
1536,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Ceará
1537,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Pernambuco
1538,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Bahia
1539,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Minas Gerais
1540,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Espírito Santo
1541,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Rio de Janeiro
1542,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - São Paulo
1543,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Paraná
1544,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Santa Catarina
1545,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Rio G. do Sul
1546,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Goiás
1547,Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Distrito Federal
1548,"Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Brasil"
1549,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Ceará"
1550,"Índice volume de vendas no varejo (2003=100) - Automóveis, motocicletas, partes e peças - Pernambuco"
1551,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Bahia"
1552,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Minas Gerais"
1553,"Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Espírito Santo"
1554,"Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Rio de Janeiro"
1555,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - São Paulo"
1556,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Paraná"
1557,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Santa Catarina"
1558,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Rio Grande do Sul"
1559,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Goiás"
1560,"Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Distrito Federal"
1561,Índice volume de vendas no varejo - Hipermercados e supermercados - Brasil
1562,Índice de volume de vendas no varejo - Hipermercados e supermercados - Ceará
1563,Índice volume de vendas no varejo (2003=100) - Hipermercados e supermercados - Pernambuco
1564,Índice de volume de vendas no varejo - Hipermercados e supermercados - Bahia
1565,Índice de volume de vendas no varejo - Hipermercados e supermercados - Minas Gerais
1566,Índice volume de vendas no varejo - Hipermercados e supermercados - Espírito Santo
1567,Índice volume de vendas no varejo - Hipermercados e supermercados - Rio de Janeiro
1568,Índice de volume de vendas no varejo - Hipermercados e supermercados - São Paulo
1569,Índice de volume de vendas no varejo - Hipermercados e supermercados - Paraná
1570,Índice de volume de vendas no varejo - Hipermercados e supermercados - Santa Catarina
1571,Índice de volume de vendas no varejo - Hipermercados e supermercados - Rio Grande do Sul
1572,Índice de volume de vendas no varejo - Hipermercados e supermercados - Goiás
1573,Índice de volume de vendas no varejo - Hipermercados e supermercados - Distrito Federal
1574,Índice de desempenho econômico do transporte (Fev/86=100) - Região Norte-origem
1575,Índice de desempenho econômico do transporte (Fev/86=100) - Região Norte-destino
1576,Índice de desempenho econômico do transporte (Fev/86=100) - Região Nordeste-origem
1577,Índice de desempenho econômico do transporte (Fev/86=100) - Região Nordeste-destino
1578,Índice de desempenho econômico do transporte (Fev/86=100) - Região Centro-Oeste-origem
1579,Índice de desempenho econômico do transporte (Fev/86=100) - Região Centro-Oeste-destino
1580,Índice de desempenho econômico do transporte (Fev/86=100) - Região Sudeste-origem
1581,Índice de desempenho econômico do transporte (Fev/86=100) - Região Sudeste-destino
1582,Índice de desempenho econômico do transporte (Fev/86=100) - Região Sul-origem
1583,Índice de desempenho econômico do transporte (Fev/86=100) - Região Sul-destino
1584,Índice de desempenho econômico do transporte (Fev/86=100) - Origem
1585,Índice de desempenho econômico do transporte (Fev/86=100) - Brasil-destino
1586,Emprego formal - Índice geral
1587,Emprego formal - Extrativa mineral
1588,Emprego formal - Indústria de transformação (total)
1589,Emprego formal - Minerais não-metálicos
1590,Emprego formal - Metalurgia
1591,Emprego formal - Mecânica
1592,Emprego formal - Material elétrico e de comunicação
1593,Emprego formal - Material de transporte
1594,Emprego formal - Mobiliário
1595,Emprego formal - Editorial e gráfico
1596,"Emprego formal - Fumo, couros e produtos similares"
1597,Emprego formal - Química e produtos farmacêuticos
1598,"Emprego formal - Têxtil, vestuário e artefatos de couro"
1599,Emprego formal - Calçados
1600,Emprego formal - Produtos alimentares e bebidas
1601,Emprego formal - Serviços industriais de utilidade pública
1602,Emprego formal - Construção civil
1603,Emprego formal - Comércio
1604,Emprego formal - Serviços
1605,Emprego formal - Administração pública direta e autárquica
1606,"Emprego formal - Agropecuária, extrativa vegetal e caça e pesca"
1607,Emprego formal - Outros
1608,Rendimento médio das pessoas ocupadas (1993=100) - Por setor de atividade - Total
1609,Rendimento médio das pessoas ocupadas (1993=100) - Por setor de atividade - Indústria de transformação
1610,Rendimento médio das pessoas ocupadas (1993=100) - Por setor de atividade - Construção civil
1611,Rendimento médio das pessoas ocupadas (1993=100) - Por setor de atividade - Comércio
1612,Rendimento médio das pessoas ocupadas (1993=100) - Por setor de atividade - Serviços
1613,Rendimento médio das pessoas ocupadas (1993=100) - Por setor de atividade - Outras atividades
1614,Rendimento médio das pessoas ocupadas (1993=100) - Por posição na ocupação - Total
1615,Rendimento médio das pessoas ocupadas (1993=100) - Por posição na ocupação - Com carteira
1616,Rendimento médio das pessoas ocupadas (1993=100) - Por posição na ocupação - Sem carteira
1617,Rendimento médio das pessoas ocupadas (1993=100) - Por posição na ocupação - Conta própria
1618,Rendimento médio das pessoas ocupadas (1993=100) - Por posição na ocupação - Empregadores
1619,Salário mínimo
1620,Taxa de desemprego - Região metropolitana - Brasil (na semana) - Desativada
1621,Taxa de desemprego - Região metropolitana - Brasil (no mês) - Desativada
1622,Taxa de desemprego - Região metropolitana - Recife (na semana) - Desativada
1623,Taxa de desemprego - Região metropolitana - Salvador (na semana) - Desativada
1624,Taxa de desemprego - Região metropolitana - Belo Horizonte (na semana) - Desativada
1625,Taxa de desemprego - Região metropolitana - Rio de Janeiro (na semana) - Desativada
1626,Taxa de desemprego - Região metropolitana - São Paulo (na semana) - Desativada
1627,Taxa de desemprego - Região metropolitana - Porto Alegre (na semana) - Desativada
1628,Taxa de desemprego - Por setor de atividade - Total (na semana)
1629,Taxa de desemprego - Por setor de atividade - Total (no mês)
1630,Taxa de desemprego - Por setor de atividade - Indústria de transformação (na semana)
1631,Taxa de desemprego - Por setor de atividade - Construção civil (na semana)
1632,Taxa de desemprego - Por setor de atividade - Comércio (na semana)
1633,Taxa de desemprego - Por setor de atividade - Serviços (na semana)
1634,Taxa de desemprego - Por setor de atividade - Outras atividades (na semana)
1635,Índice nacional de preços ao consumidor-Amplo (IPCA) - Alimentação e bebidas
1636,Índice nacional de preços ao consumidor-Amplo (IPCA) - Habitação
1637,Índice nacional de preços ao consumidor-Amplo (IPCA) - Artigos de residência
1638,Índice nacional de preços ao consumidor-Amplo (IPCA)- Vestuário
1639,Índice de nacional de preços ao consumidor-Amplo (IPCA) - Transportes
1640,Índice nacional de preços ao consumidor-Amplo (IPCA) - Comunicação
1641,Índice nacional de preços ao consumidor-Amplo (IPCA) - Saúde e cuidados pessoais
1642,Índice nacional de preços ao consumidor-Amplo (IPCA) - Despesas pessoais
1643,Índice nacional de preços ao consumidor-Amplo (IPCA) - Educação
1644,Índice nacional de preços ao consumidor (INPC) - Alimentação e bebidas
1645,Índice nacional de preços ao consumidor (INPC) - Habitação
1646,Índice nacional de preços ao consumidor (INPC) - Artigos de residência
1647,Índice nacional de preços ao consumidor (INPC) - Vestuário
1648,Índice nacional de preços ao consumidor (INPC) - Transporte
1649,Índice nacional de preços ao consumidor (INPC) - Comunicação
1650,Índice nacional de preços ao consumidor (INPC) - Saúde e cuidados pessoais
1651,Índice nacional de preços ao consumidor (INPC) - Despesas pessoais
1652,Índice nacional de preços ao consumidor (INPC) - Educação
1653,Custo unitário básico da construção no Estado de São Paulo (CUB)
1654,Multiplicador de Unificação Monetária - mensal
1655,Índice de Preços ao Consumidor-Amplo (IPCA)-Transportes e comunicação
1656,Índice Nacional de Preços ao Consumidor (INPC)-Transporte e comunicação
1780,BM - Papel moeda emitido (saldo diário)
1781,BM - Reservas bancárias (saldo diário)
1782,BM - Base monetária restrita (saldo diário)
1783,BM - Papel moeda emitido (média nos dias úteis do mês)
1784,BM - Reservas bancárias (média nos dias úteis do mês)
1785,BM - Base monetária restrita (média nos dias úteis do mês)
1786,BM - Papel moeda emitido (saldo em final de período)
1787,BM - Reservas bancárias (saldo em final de período)
1788,BM - Base monetária restrita (saldo em final de período)
1789,Fatores condicionantes da base monetária - Operações com títulos públicos federais (saldo diário)
1790,Fatores condicionantes da base monetária - Tesouro Nacional - Conta única (saldo diário)
1791,Fatores condicionantes da base monetária - Operações com o setor externo (saldo diário)
1792,Fatores condicionantes da base monetária - Assistência financeira de liquidez (saldo diário)
1793,Fatores condicionantes da base monetária - Proer (saldo diário)
1794,Fatores condicionantes da base monetária - Proes (saldo diário)
1795,Fatores condicionantes da base monetária - Depósitos de instituições financeiras (saldo diário)
1796,Fatores condicionantes da base monetária - Depósitos de fundos de investimentos (saldo diário)
1797,Recolhimentos obrigatórios de instituições financeiras - Exigibilidade adicional em espécie (remunerado)
1798,Fatores condicionantes da base monetária - Autoridade Monetária-outras operações (saldo diário)
1799,Fatores condicionantes da base monetária - Operações com títulos públicos federais (média nos dias úteis do mês)
1800,Fatores condicionantes da base monetária - Tesouro Nacional - Conta única (média nos dias úteis do mês)
1801,Fatores condicionantes da base monetária - Operações com o setor externo (média nos dias úteis do mês)
1802,Fatores condicionantes da base monetária - Assistência financeira de liquidez (média nos dias úteis do mês)
1803,Fatores condicionantes da base monetária - Proer (média nos dias úteis do mês)
1804,Fatores condicionantes da base monetária - Proes (média nos dias úteis do mês)
1805,Fatores condicionantes da base monetária - Depósitos de instituições financeiras (média nos dias úteis do mês)
1806,Fatores condicionantes da base monetária - Depósitos de fundos de investimentos (média nos dias úteis do mês)
1807,Recolhimentos obrigatórios de instituições financeiras - Depósitos a prazo em espécie (não remunerados)
1808,Fatores condicionantes da base monetária - Autoridade Monetária - Outras operações (média nos dias úteis do mês)
1809,Fatores condicionantes da base monetária - Operações com títulos públicos federais (saldo em final de período)
1810,Fatores condicionantes da base monetária - Tesouro Nacional - Conta única (saldo em final de período)
1811,Fatores condicionantes da base monetária - Operações com o setor externo (saldo em final de período)
1812,Fatores condicionantes da base monetária - Assistência financeira de liquidez (saldo em final de período)
1813,Fatores condicionantes da base monetária - Proer (saldo em final de período)
1814,Fatores condicionantes da base monetária - Proes (saldo em final de período)
1815,Fatores condicionantes da base monetária - Depósitos de instituições financeiras (saldo em final de período)
1816,Fatores condicionantes da base monetária - Depósitos de fundos de investimentos (saldo em final de período)
1818,Fatores condicionantes da base monetária - Autoridade Monetária - Outras operações (saldo em final de período)
1819,Meios de pagamento - Papel moeda em poder do público (saldo diário)
1820,Meios de pagamento - Depósitos à vista (saldo diário)
1821,Meios de pagamento - M1 (saldo diário)
1822,Meios de pagamento - Papel moeda em poder do público (média nos dias úteis do mês)
1823,Meios de pagamento - Depósitos à vista (média nos dias úteis do mês)
1824,Meios de pagamento - M1 (média nos dias úteis do mês)
1825,Meios de pagamento - Papel moeda em poder do público (saldo em final de período)
1826,Meios de pagamento - Depósitos à vista (saldo em final de período)
1827,Meios de pagamento - M1 (saldo em final de período)
1828,Base monetária ampliada - Depósitos compulsórios em espécie (saldo em final de período)
1829,Base monetária ampliada - Títulos do Banco Central-carteira do mercado (saldo em final de período)
1830,Base monetária ampliada - Títulos do Banco Central-financiamento líquido (saldo em final de período)
1831,Base monetária ampliada - Títulos do Tesouro Nacional-carteira do mercado/Selic (saldo em final de período)
1832,Base monetária ampliada - Títulos do Tesouro Nacional-financiamento líquido/Selic (saldo em final de período)
1833,Base Monetária Ampliada (saldo em final de período)
1834,Meios de pagamento amplos - Depósito Especial Remunerado
1835,Meios de pagamento amplos - Depósito de Poupança (saldo em final de período)
1836,Meios de pagamento amplos - Títulos Privados em Poder do Público (saldo em final de período)
1837,Meios de pagamento amplos - M2 (saldo em final de período)
1838,Meios de pagamento amplos - Quotas de fundos de renda fixa (saldo em final de período)
1839,Meios de pagamento amplos - Operações compromissadas/Selic (saldo em final de período)
1840,Meios de pagamento amplos - M3 (saldo em final de período)
1841,Meios de pagamento amplos - Títulos federais em poder do público/Selic (saldo em final de período)
1842,Meios de pagamento amplos - Títulos estaduais e municipais em poder do público (saldo em final de período)
1843,Meios de pagamento amplos - M4 (saldo em final de período)
1844,Meios de pagamento amplos - Valores à ordem do Banco Central (VOB)
1845,Recolhimentos obrigatórios de instituições financeiras - Depósitos judiciais em títulos
1846,Recolhimentos obrigatórios de instituições financeiras - Fundos de investimento em espécie (não remunerados)
1847,Outros recolhimentos de instituições financeiras - Depósitos de poupança em títulos
1848,Recolhimentos obrigatórios de instituições financeiras - Depósitos de poupança em espécie (remunerados)
1849,Recolhimentos obrigatórios de instituições financeiras - Recursos à vista em espécie (não remunerados)
1850,Recolhimentos obrigatórios de instituições financeiras - Depósitos a prazo em espécie (remunerados)
1851,Recolhimentos obrigatórios de instituições financeiras - Depósitos a prazo em títulos
1852,Recolhimentos obrigatórios de instituições financeiras - Operações de crédito ativas e passivas
1853,Recolhimentos obrigatórios de instituições financeiras - Operações ativas e passivas em títulos
1854,Contas analíticas - Autoridade monetária - Total do ativo
1855,Contas analíticas - Autoridade monetária - Ativos externos
1856,Contas analíticas - Autoridade monetária - Títulos do Tesouro Nacional
1857,Contas analíticas - Autoridade monetária - Créditos aos governos estaduais e municipais
1858,Contas analíticas - Autoridade monetária - Créditos ao setor privado
1859,Contas analíticas - Autoridade monetária - Créditos aos bancos criadores de moeda
1860,Contas analíticas - Autoridade monetária - Créditos a outras instituições bancárias
1861,Contas analíticas - Autoridade monetária - Créditos a instituições financeiras não-bancárias
1862,Contas analíticas - Autoridade monetária - Total do passivo
1863,Contas analíticas - Autoridade monetária - Passivo monetário ampliado
1864,Contas analíticas - Autoridade monetária - Moeda fora dos bancos criadores de moeda
1865,Contas analíticas - Autoridade monetária - Instrumentos do mercado monetário
1866,Contas analíticas - Autoridade monetária - Obrigações por títulos do Banco Central
1867,Contas analíticas - Autoridade monetária - Depósitos registrados em moeda estrangeira
1868,Contas analíticas - Autoridade monetária - Passivos externos
1869,Contas analíticas - Autoridade monetária - Passivos externos de longo prazo
1870,Contas analíticas - Autoridade monetária - Depósitos do Tesouro Nacional
1871,Contas analíticas - Autoridade monetária - Contas de capital
1872,Contas analíticas - Autoridade monetária - Outros itens (líquido)
1873,Contas analíticas - Bancos criadores de moeda - Total do ativo
1874,Contas analíticas - Bancos criadores de moeda - Reservas
1875,Contas analíticas - Bancos criadores de moeda - Títulos do Banco Central
1876,Contas analíticas - Bancos criadores de moeda - Ativos externos
1877,Contas analíticas - Bancos criadores de moeda - Créditos ao governo federal
