cod,descr
95,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Cheque especial - Taxa total
96,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Cheque especial
97,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Cheque especial - Taxa total
98,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Cheque especial
99,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Crédito pessoal - Taxa total
100,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Crédito pessoal
101,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Crédito pessoal - Taxa total
102,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Crédito pessoal
103,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física - Taxa total
104,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física
105,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física - Taxa total
106,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física
108,BTN/UFIR mensal
109,Fundo de aplicações financeiras - Aplicações em depósitos obrigatórios
110,Fundo de aplicações financeiras - Aplicações em depósitos inst. títulos TDE
111,Fundo de aplicações financeiras - Aplicações em operações compromissadas
112,Fundo de aplicações financeiras - Aplicações em quotas fundos desenvolvimento social
113,Fundo de aplicações financeiras - Aplicações em títulos do Tesouro Nacional
114,Fundo de aplicações financeiras - Aplicações em títulos estaduais ou municipais
115,Fundo de aplicações financeiras - Aplicações em títulos privados
116,Fundo de aplicações financeiras - Aplicações em títulos de desenvolvimento econômico
117,Fundo de aplicações financeiras - Aplicações em títulos vinculados a projetos agrícolas
118,Fundo de aplicações financeiras - Aplicações em letras hipotecárias
119,Fundo de comodities - Aplicações em export notes
120,Fundo de comodities - Aplicações em CDB/RDB
121,Fundo de comodities - Aplicações em Warrants
122,Fundo de comodities - Aplicações em certificados de mercadorias
123,Fundo de comodities - Aplicações em títulos federais
124,Fundo de comodities - Aplicações em títulos estaduais ou municipais
125,Fundo de comodities - Aplicações em títulos privados
126,Fundo de comodities - Aplicações em quotas FAF
127,Fundo de comodities - Aplicações em notas promissórias
128,Fundo de comodities - Aplicações em ações
129,Fundo de comodities - Aplicações em ouro
130,Fundo mútuo de renda fixa - Aplicações em títulos do Tesouro Nacional
131,Fundo mútuo de renda fixa - Aplicações em títulos do Banco Central
132,Fundo mútuo de renda fixa - Aplicações em títulos estaduais e municipais
133,Fundo mútuo de renda fixa - Aplicações em ações
134,Fundo mútuo de renda fixa - Aplicações em debêntures
135,Fundo mútuo de renda fixa - Aplicações em títulos privados
136,Fundo mútuo de renda fixa - Aplicações em juros do mercado futuro
137,Fundo mútuo de renda fixa - Aplicações em quotas de fundos
138,Fundo mútuo de renda fixa - Aplicações em operações compromissadas
139,Fundo mútuo de renda fixa - Outras aplicações
140,Fundo de ações-tradicional - Aplicações em títulos do Tesouro Nacional
141,Fundo de ações-tradicional - Aplicações em títulos do Banco Central
142,Fundo de ações-tradicional - Aplicações em títulos estaduais e municipais
143,Fundo de ações-tradicional - Aplicações em índices de ações
144,Fundo de ações-tradicional - Aplicações em ações
145,Fundo de ações-tradicional - Aplicações em debêntures
146,Fundo de ações-tradicional - Aplicações em títulos privados
147,Fundo de ações-tradicional - Aplicações em quotas de fundos
148,Fundo de ações-tradicional - Outras aplicações
149,Fundo de ações-carteira livre - Aplicações em títulos do Tesouro Nacional
150,Fundo de ações-carteira livre - Aplicações em títulos do Banco Central
151,Fundo de ações-carteira livre - Aplicações em títulos estaduais e municipais
152,Fundo de ações-carteira livre - Aplicações em índices de ações
153,Fundo de ações-carteira livre - Aplicações em ações
154,Fundo de ações-carteira livre - Aplicações em debêntures
155,Fundo de ações-carteira livre - Aplicações em títulos privados
156,Fundo de ações-carteira livre - Aplicações em quotas de fundos
157,Fundo de ações-carteira livre - Outras aplicações
158,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Tesouro Nacional
159,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Banco Central
160,Fundo de investimento-capital estrangeiro - Aplicações em títulos estaduais e municipais
161,Fundo de investimento-capital estrangeiro - Aplicações em índices de ações
162,Fundo de investimento-capital estrangeiro - Aplicações em ações
